Sent	amod	noun	amod_idx	head_idx	position
j' y suis allé après avoir lu les commentaires précédents , et je ne suis pas déçu !	précédents	commentaires	10	9	after
la marine impériale ne se contente que d' un blocus car elle attend la construction de la seconde étoile de la mort .	impériale	marine	3	2	after
fait inhabituel pour un scrutin en egypte , les électeurs semblent s' être déplacés en masse dès les premières heures , à le vu de les files d' attente qui se sont formées devant les bureaux de vote qui ont ouvert à 8h locales ( 6h gmt ) et doivent fermer à 19h locales ( 17h gmt ) .	inhabituel	fait	2	1	after
fait inhabituel pour un scrutin en egypte , les électeurs semblent s' être déplacés en masse dès les premières heures , à le vu de les files d' attente qui se sont formées devant les bureaux de vote qui ont ouvert à 8h locales ( 6h gmt ) et doivent fermer à 19h locales ( 17h gmt ) .	locales	8h	44	43	after
fait inhabituel pour un scrutin en egypte , les électeurs semblent s' être déplacés en masse dès les premières heures , à le vu de les files d' attente qui se sont formées devant les bureaux de vote qui ont ouvert à 8h locales ( 6h gmt ) et doivent fermer à 19h locales ( 17h gmt ) .	locales	19h	54	53	after
les pilotes s' élancent très vite boucler un premier tour d' installation en pneus intermédiaires .	intermédiaires	pneus	15	14	after
lorsqu' en 1916 la roumanie rejoint l' entente franco-britannique , il s' enrôle dans l' armée roumaine et combat comme simple soldat .	franco-britannique	entente	9	8	after
lorsqu' en 1916 la roumanie rejoint l' entente franco-britannique , il s' enrôle dans l' armée roumaine et combat comme simple soldat .	roumaine	armée	17	16	after
dans la maison , qu' elle partageait avec sa compagne , l' écrivaine suisse simone gentet , plus jeune qu' elle de dix ans , elle cachait des clandestins .	suisse	écrivaine	14	13	after
dans la maison , qu' elle partageait avec sa compagne , l' écrivaine suisse simone gentet , plus jeune qu' elle de dix ans , elle cachait des clandestins .	jeune	écrivaine	19	13	after
ils proposèrent un concours avec pour thème , l' héritage culturel américain .	culturel	héritage	11	10	after
ils proposèrent un concours avec pour thème , l' héritage culturel américain .	américain	héritage	12	10	after
aujourd'hui , une usine de désalinisation d' eau de mer produit l' essentiel de l' eau courante dans les maisons bien que celle-ci soit non potable .	courante	eau	17	16	after
dès ses origines , l' université libre de bruxelles a été pionnière dans l' histoire scientifique de les religions , avec la figure marquante de le maçon eugène goblet d' alviella ( 1846-1925 ) qui y enseigna cette discipline de 1884 à 1914 .	libre	université	7	6	after
dès ses origines , l' université libre de bruxelles a été pionnière dans l' histoire scientifique de les religions , avec la figure marquante de le maçon eugène goblet d' alviella ( 1846-1925 ) qui y enseigna cette discipline de 1884 à 1914 .	scientifique	histoire	16	15	after
dès ses origines , l' université libre de bruxelles a été pionnière dans l' histoire scientifique de les religions , avec la figure marquante de le maçon eugène goblet d' alviella ( 1846-1925 ) qui y enseigna cette discipline de 1884 à 1914 .	marquante	figure	24	23	after
une thèse partagée par jean laloux , qui dirige le cabinet inférences , spécialisé dans l' analyse sémantique de les discours .	sémantique	analyse	18	17	after
le danger vient de sa combustion donnant des flammes petites et peu visibles dans les tons bleus .	petites	flammes	10	9	after
le danger vient de sa combustion donnant des flammes petites et peu visibles dans les tons bleus .	bleus	tons	17	16	after
selon charles bouleau , se basant sur un dessin de girodet , les artistes de le néoclassicisme structuraient leurs tableaux à partir d' une construction géométrique rigoureuse , basée sur la règle classique de le rabattement de les petits côtés de le rectangle , les deux carrés obtenus délimitent les perpendiculaires et les diagonales qui en découlent et donnent les lignes de force qui dirigent la composition .	géométrique	construction	26	25	after
selon charles bouleau , se basant sur un dessin de girodet , les artistes de le néoclassicisme structuraient leurs tableaux à partir d' une construction géométrique rigoureuse , basée sur la règle classique de le rabattement de les petits côtés de le rectangle , les deux carrés obtenus délimitent les perpendiculaires et les diagonales qui en découlent et donnent les lignes de force qui dirigent la composition .	rigoureuse	construction	27	25	after
selon charles bouleau , se basant sur un dessin de girodet , les artistes de le néoclassicisme structuraient leurs tableaux à partir d' une construction géométrique rigoureuse , basée sur la règle classique de le rabattement de les petits côtés de le rectangle , les deux carrés obtenus délimitent les perpendiculaires et les diagonales qui en découlent et donnent les lignes de force qui dirigent la composition .	classique	règle	33	32	after
mussolini , répugnant à attaquer l' église de face , comme le fait hitler à le même moment , préfère des actions d' intimidation de les militants catholiques .	catholiques	militants	28	27	after
le risque principal est lorsque le coussin ne s' est pas déclenché lors de l' accident , par exemple en cas de choc latéral , arrière , ou de tonneau .	principal	risque	3	2	after
le risque principal est lorsque le coussin ne s' est pas déclenché lors de l' accident , par exemple en cas de choc latéral , arrière , ou de tonneau .	latéral	choc	24	23	after
rien d' autre ne semble être connu sur lui pendant les années suivantes , à part qu' il est entré à l' université de leyde en 1710 , où il a obtenu un doctorat en médecine , et qu' il a résidé à londres jusqu' à sa mort , célibataire , en 1719 .	suivantes	années	13	12	after
l' isialm recrute sur concours des jeunes issus d' une formation technique ou généraliste de bac +2 à bac +5 .	issus	jeunes	8	7	after
l' isialm recrute sur concours des jeunes issus d' une formation technique ou généraliste de bac +2 à bac +5 .	technique	formation	12	11	after
ca fait un moment que ce restau a changé , c' est maintenant un délicieux petit restau très calme avec une cuisine très agréable	calme	restau	19	17	after
ca fait un moment que ce restau a changé , c' est maintenant un délicieux petit restau très calme avec une cuisine très agréable	agréable	cuisine	24	22	after
parmi les précurseurs français de la psychologie sociale , on trouve gustave le bon , sociologue , qui publie un ouvrage de référence en 1895 : « psychologie de les foules » .	français	précurseurs	4	3	after
parmi les précurseurs français de la psychologie sociale , on trouve gustave le bon , sociologue , qui publie un ouvrage de référence en 1895 : « psychologie de les foules » .	sociale	psychologie	8	7	after
les mesures ont été définies avant l' été : réduction de 10 % de les dépenses de fonctionnement et d' intervention , suppression de 100.000 postes de fonctionnaires en trois ans et gel de le point d' indice dans la fonction publique en 2011 .	publique	fonction	42	41	after
il s' aligne avec le club de canberra dans la ligue australienne de baseball pendant la saison 2010-2011 et remporte un gant doré pour son excellence en défensive à la position d' arrêt-court .	australienne	ligue	12	11	after
un corps enseignant de qualité et une vie étudiante épanouissante .	étudiante	vie	9	8	after
un corps enseignant de qualité et une vie étudiante épanouissante .	épanouissante	vie	10	8	after
elżbieta krzesińska est élue sportive polonaise de l' année en 1956 .	polonaise	sportive	6	5	after
julien gruaz , né à lausanne le 18 mars 1868 et mort dans la même ville le 13 mars 1952 , est un numismate et conservateur de musée vaudois .	vaudois	numismate	29	24	after
le clocher est une flèche polygonale .	polygonale	flèche	6	5	after
de plus , les opérations « pierres précieuses » lui ont porté des coups sérieux .	précieuses	pierres	8	7	after
de plus , les opérations « pierres précieuses » lui ont porté des coups sérieux .	sérieux	coups	15	14	after
en 2002 , les peintres russes vladimir dubossarsky et alexandre vinogradov ont peint un déjeuner sur l' herbe en hommage à les peintres impressionnistes .	russes	peintres	6	5	after
en 2002 , les peintres russes vladimir dubossarsky et alexandre vinogradov ont peint un déjeuner sur l' herbe en hommage à les peintres impressionnistes .	impressionnistes	peintres	24	23	after
mais notre camarade ayetullah emin était un élève très réservé et timide , et le jour de l' assemblée générale s' approchait de plus en plus , donc il fallait a tout prix trouver une personne qui présente ce nouveau logo à la place d' ayetullah emin .	générale	assemblée	20	19	after
à noter qu' il s' agit de le premier succès public pour le réalisateur jesse peretz , dont ses précédents films sortirent de façon confidentielles .	public	succès	11	10	after
à noter qu' il s' agit de le premier succès public pour le réalisateur jesse peretz , dont ses précédents films sortirent de façon confidentielles .	confidentielles	façon	25	24	after
depuis 1999 , elle est en outre l' une de les rares bases aériennes en dehors de le territoire de les états-unis équipées et habilitées pour l' atterrissage de la navette spatiale américaine .	aériennes	bases	14	13	after
depuis 1999 , elle est en outre l' une de les rares bases aériennes en dehors de le territoire de les états-unis équipées et habilitées pour l' atterrissage de la navette spatiale américaine .	spatiale	navette	32	31	after
depuis 1999 , elle est en outre l' une de les rares bases aériennes en dehors de le territoire de les états-unis équipées et habilitées pour l' atterrissage de la navette spatiale américaine .	américaine	navette	33	31	after
le consommateur doit retrouver ses points de repère , faisant référence à la marque existante , afin d' être rassuré sur l' origine de la nouvelle marque .	existante	marque	15	14	after
comme les coûts de construction d' un tramway sont assez élevés , la présence d' un site propre constitue , avec la circulation de bus confortables et accessibles à les personnes à mobilité réduite ( pmr ) , un moyen de créer un transport de qualité permettant d' attendre la création éventuelle d' une véritable ligne de tramway .	propre	site	18	17	after
comme les coûts de construction d' un tramway sont assez élevés , la présence d' un site propre constitue , avec la circulation de bus confortables et accessibles à les personnes à mobilité réduite ( pmr ) , un moyen de créer un transport de qualité permettant d' attendre la création éventuelle d' une véritable ligne de tramway .	confortables	bus	26	25	after
comme les coûts de construction d' un tramway sont assez élevés , la présence d' un site propre constitue , avec la circulation de bus confortables et accessibles à les personnes à mobilité réduite ( pmr ) , un moyen de créer un transport de qualité permettant d' attendre la création éventuelle d' une véritable ligne de tramway .	réduite	mobilité	34	33	after
comme les coûts de construction d' un tramway sont assez élevés , la présence d' un site propre constitue , avec la circulation de bus confortables et accessibles à les personnes à mobilité réduite ( pmr ) , un moyen de créer un transport de qualité permettant d' attendre la création éventuelle d' une véritable ligne de tramway .	éventuelle	création	52	51	after
ses caractéristiques phonétiques , relativement riches , sont fréquemment prises comme référence de le valencien général .	phonétiques	caractéristiques	3	2	after
ses caractéristiques phonétiques , relativement riches , sont fréquemment prises comme référence de le valencien général .	riches	caractéristiques	6	2	after
ses caractéristiques phonétiques , relativement riches , sont fréquemment prises comme référence de le valencien général .	général	valencien	16	15	after
tous les coiffeurs de zen ont leur propre style artistique et sont très compétents .	artistique	style	10	9	after
mon amie sally ( my gal sal ) est un film musical américain réalisé par irving cummings , sorti en 1942 .	musical	film	12	11	after
mon amie sally ( my gal sal ) est un film musical américain réalisé par irving cummings , sorti en 1942 .	américain	film	13	11	after
cet hôtel est infesté d' insectes nuisibles .	nuisibles	insectes	7	6	after
montclus est une commune française , située dans le département de le gard et la région languedoc-roussillon .	française	commune	5	4	after
il évolue à le poste d' arrière gauche et mesure 1,80 m .	gauche	arrière	8	7	after
en effet , ses poèmes philosophiques sont construits sur la base d' une tristesse existentielle profonde , faisant de le pessimisme une ligne de conduite et le départ de toute réflexion philosophique .	philosophiques	poèmes	6	5	after
en effet , ses poèmes philosophiques sont construits sur la base d' une tristesse existentielle profonde , faisant de le pessimisme une ligne de conduite et le départ de toute réflexion philosophique .	existentielle	tristesse	15	14	after
en effet , ses poèmes philosophiques sont construits sur la base d' une tristesse existentielle profonde , faisant de le pessimisme une ligne de conduite et le départ de toute réflexion philosophique .	profonde	tristesse	16	14	after
en effet , ses poèmes philosophiques sont construits sur la base d' une tristesse existentielle profonde , faisant de le pessimisme une ligne de conduite et le départ de toute réflexion philosophique .	philosophique	réflexion	32	31	after
il s' agit également d' une spécialité culinaire savoyarde .	culinaire	spécialité	8	7	after
il s' agit également d' une spécialité culinaire savoyarde .	savoyarde	spécialité	9	7	after
le sujet de les voyages de michèle alliot-marie est selon lui , une affaire de politique interne mais observe que la sortie de la ministre de les affaires etrangères sur l' aide sécuritaire lui semblait déplacée .	interne	politique	17	16	after
le sujet de les voyages de michèle alliot-marie est selon lui , une affaire de politique interne mais observe que la sortie de la ministre de les affaires etrangères sur l' aide sécuritaire lui semblait déplacée .	etrangères	affaires	29	28	after
le sujet de les voyages de michèle alliot-marie est selon lui , une affaire de politique interne mais observe que la sortie de la ministre de les affaires etrangères sur l' aide sécuritaire lui semblait déplacée .	sécuritaire	aide	33	32	after
la princesse sophie-dorothée de wurtemberg-montbéliard , en allemand : sophie-dorothée augusta luisa von württemberg , impératrice marie fiodorovna , en russe : императрица mapия фёдopoвна , née le 25 octobre 1759 à stettin , décédée le 5 novembre 1828 à pavlovsk , fut impératrice de russie sous le nom de marie feodorovna , après sa conversion à l' église orthodoxe .	orthodoxe	église	60	59	after
dans chaque type de site , plusieurs atomes peuvent se remplacer en donnant lieu à des substitutions isomorphes .	isomorphes	substitutions	18	17	after
établie à 50 mètres d' altitude , la gare d' us est située à le point kilométrique ( pk ) 39,337 de la ligne de saint-denis à dieppe , entre les gares de montgeroult -- courcelles et santeuil -- le perchay .	kilométrique	point	17	16	after
en 1772 , une goélette britannique chargée de contrôler les navires marchands est incendiée par des patriotes à le large de le rhode island : c' est l' affaire de le gaspée .	britannique	goélette	6	5	after
en 1772 , une goélette britannique chargée de contrôler les navires marchands est incendiée par des patriotes à le large de le rhode island : c' est l' affaire de le gaspée .	marchands	navires	12	11	after
sans soins efficaces , la maladie évolue vers la mort .	efficaces	soins	3	2	after
différentes églises protestantes seront construites pour répondre à la collectivité en croissance .	protestantes	églises	3	2	after
le monde médiatique est une sorte de théâtre , où les rôles sont déjà attribués avant que la pièce ait été écrite , avant que l' événement ne se produise .	médiatique	monde	3	2	after
le sommet de le g20 a été précédé d' un mini-sommet de crise entre les principaux dirigeants européens , le fonds monétaire international ( fmi ) et le premier ministre grec georges papandréou , dont l' annonce inattendue d' un référendum a chamboulé la donne .	européens	dirigeants	18	17	after
le sommet de le g20 a été précédé d' un mini-sommet de crise entre les principaux dirigeants européens , le fonds monétaire international ( fmi ) et le premier ministre grec georges papandréou , dont l' annonce inattendue d' un référendum a chamboulé la donne .	monétaire	fonds	22	21	after
le sommet de le g20 a été précédé d' un mini-sommet de crise entre les principaux dirigeants européens , le fonds monétaire international ( fmi ) et le premier ministre grec georges papandréou , dont l' annonce inattendue d' un référendum a chamboulé la donne .	international	fonds	23	21	after
le sommet de le g20 a été précédé d' un mini-sommet de crise entre les principaux dirigeants européens , le fonds monétaire international ( fmi ) et le premier ministre grec georges papandréou , dont l' annonce inattendue d' un référendum a chamboulé la donne .	grec	ministre	31	30	after
le sommet de le g20 a été précédé d' un mini-sommet de crise entre les principaux dirigeants européens , le fonds monétaire international ( fmi ) et le premier ministre grec georges papandréou , dont l' annonce inattendue d' un référendum a chamboulé la donne .	inattendue	annonce	38	37	after
ses longues ailes pointues sont grises par-dessous ;	pointues	ailes	4	3	after
gerry est alors interrogé par la police londonienne qui l' accuse d' être l' instigateur de les attentats terroristes à guildford pour le compte de l' ira .	londonienne	police	8	7	after
gerry est alors interrogé par la police londonienne qui l' accuse d' être l' instigateur de les attentats terroristes à guildford pour le compte de l' ira .	terroristes	attentats	19	18	after
de là serait née sa vocation musicale ( après avoir été bercé par le « chant » de les martinets -- à entendre ici dans le sens de les lourds marteaux de platinage et non de les gracieux oiseaux ! )	musicale	vocation	7	6	after
il faut bien distinguer la pensée critique de la méthode hypercritique .	critique	pensée	7	6	after
il faut bien distinguer la pensée critique de la méthode hypercritique .	hypercritique	méthode	11	10	after
à châteaurenard , c' est dans le quartier de le vigneret que l'on trouve le plus de vestiges romains .	romains	vestiges	19	18	after
il faut donc chercher des solutions alternatives ( bioplastiques ) .	alternatives	solutions	7	6	after
la conférence émit également une condamnation de les atrocités allemandes en pologne .	allemandes	atrocités	10	9	after
la compagnie exploite , en plus de les chemins de fer et de les services de messagerie , une compagnie de télégraphe , une chaîne d' hôtels et une ligne transatlantique .	transatlantique	ligne	31	30	after
c' est l' un de les édifices les plus anciens de le complexe , datant probablement d' environ 670 .	anciens	édifices	10	7	after
avec deux variantes usuelles : si l' œil est « à l' infini » sur la diagonale principale de les 3 axes ox , oy , oz la perspective est isométrique , si l' œil est à l' infini sur l' axe oy , celui-ci est caché , on est en géométrie descriptive .	usuelles	variantes	4	3	after
avec deux variantes usuelles : si l' œil est « à l' infini » sur la diagonale principale de les 3 axes ox , oy , oz la perspective est isométrique , si l' œil est à l' infini sur l' axe oy , celui-ci est caché , on est en géométrie descriptive .	principale	diagonale	18	17	after
avec deux variantes usuelles : si l' œil est « à l' infini » sur la diagonale principale de les 3 axes ox , oy , oz la perspective est isométrique , si l' œil est à l' infini sur l' axe oy , celui-ci est caché , on est en géométrie descriptive .	descriptive	géométrie	53	52	after
le monument de les héros éponymes est situé sur l' agora d' athènes , près de la tholos et de le bouleutérion .	éponymes	héros	6	5	after
elle consiste à mesurer en deux sommets p1 et p2 , de distance connue p1p2 , les distances zénithales réciproques z1 et z2 .	zénithales	distances	19	18	after
elle consiste à mesurer en deux sommets p1 et p2 , de distance connue p1p2 , les distances zénithales réciproques z1 et z2 .	réciproques	distances	20	18	after
le système méritocratique rend chacun responsable de sa propre rémunération , mais génère des comportements individualistes .	méritocratique	système	3	2	after
le système méritocratique rend chacun responsable de sa propre rémunération , mais génère des comportements individualistes .	individualistes	comportements	16	15	after
grâce à une volonté de décentralisation , plusieurs films ont été tournés dans d' autres villes telles que cali , medellín , barranquilla , etc.	telles	villes	17	16	after
par ailleurs , c' est à cali que fut fondée en 1923 la compagnie « colombia film » , afin de réaliser des films demandant davantage d' exigences techniques .	techniques	exigences	29	28	after
l' accord a été scellé in extremis , à quelques heures seulement de l' ouverture de les travaux de l' assemblée constituante , aujourd'hui .	constituante	assemblée	22	21	after
l' application tomtom pour iphone est disponible à le coût de 5,99 $ et est accompagnée de cartes géographiques mises à jour .	géographiques	cartes	19	18	after
mais depuis le xxe siècle dans la majorité de les foyers , et par appropriation de la coutume américaine , la légende contée à les enfants veut que ce soit le père noël qui livre les cadeaux ;	américaine	coutume	19	18	after
ainsi , les staphylocoques , profitant de la baisse de l' activité de l' eau se développent durant le séchage mais ils ne concurrencent jamais sérieusement la flore lactique .	lactique	flore	29	28	after
marco antonio de mattos filho , dit marquinho , est un footballeur brésilien né le 3 juillet 1986 à passo fundo .	brésilien	footballeur	13	12	after
elle a été nommée ainsi en référence à le lancer de le javelot , discipline olympique ( la commercialisation de l' opération de reconstruction de l' ilot s' étant faite sous le nom d' olympiades ) .	olympique	discipline	16	15	after
le texte législatif impose aussi le consentement de la future épouse , quel que soit son âge .	législatif	texte	3	2	after
6 équipes se qualifient alors pour la poule finale .	finale	poule	9	8	after
le monument est classé à le titre de les monuments historiques en 1921 .	historiques	monuments	11	10	after
brandon maïsano , né le 24 juin 1993 à cannes , est un pilote automobile français .	automobile	pilote	15	14	after
brandon maïsano , né le 24 juin 1993 à cannes , est un pilote automobile français .	français	pilote	16	14	after
l' ensemble de les décorations de cette salle est classé à le titre d' objets mobiliers protégés depuis le 5 octobre 1920 .	mobiliers	objets	16	15	after
si vous passez à chateauneuf de le pape et que vous voulez un bon vin rouge , n' hésitez pas à vous arrêter à le chateau maucoil .	rouge	vin	16	15	after
son successeur quadriplace , le ka-18 s' en distinguait par la taille de son fuselage .	quadriplace	successeur	3	2	after
en tant que ville de l' empire romain , bitonto est incluse dans l' itinéraire d' antonin et d' autres itinéraires impériaux , et dans la table de peutinger .	romain	empire	8	7	after
en tant que ville de l' empire romain , bitonto est incluse dans l' itinéraire d' antonin et d' autres itinéraires impériaux , et dans la table de peutinger .	impériaux	itinéraires	22	21	after
ces nouvelles fonctionnalités soulignent la parfaite complémentarité entre référencement organique et référencement en liens sponsorisés .	organique	référencement	10	9	after
la technologie reste chère mais certains fabricants essaient de se démarquer et de démocratiser le produit , à l' image de le fabricant belge lazer avec l' écran lumino .	belge	fabricant	24	23	after
quatre d' entre eux sont classifié en tant que céphalées primaires , 5-12 groupes en tant que céphalées secondaires , ainsi que les deux derniers concernant d' autres types de maux de tête .	primaires	céphalées	11	10	after
quatre d' entre eux sont classifié en tant que céphalées primaires , 5-12 groupes en tant que céphalées secondaires , ainsi que les deux derniers concernant d' autres types de maux de tête .	secondaires	céphalées	19	18	after
en facture instrumentale , l' harmonisation est l' action artistique exercée sur différents éléments d' un instrument , afin de travailler le timbre de celui-ci : c' est le travail de l' harmoniste .	instrumentale	facture	3	2	after
en facture instrumentale , l' harmonisation est l' action artistique exercée sur différents éléments d' un instrument , afin de travailler le timbre de celui-ci : c' est le travail de l' harmoniste .	artistique	action	10	9	after
cependant , le site internet de légifrance précise qu' il est nécessaire d' avoir déclaré son option pour le versement fiscal libératoire ( lors de la déclaration d' activité d' auto-entrepreneur ou à le moyen de le formulaire n° 13843 * 01 ) et effectué une déclaration provisoire mentionnant la demande d' exonération temporaire avant le 31 décembre de l' année de début d' activité ( ou dans les 3 mois suivant la création si celle-ci intervient à partir d' octobre ) .	fiscal	versement	21	20	after
cependant , le site internet de légifrance précise qu' il est nécessaire d' avoir déclaré son option pour le versement fiscal libératoire ( lors de la déclaration d' activité d' auto-entrepreneur ou à le moyen de le formulaire n° 13843 * 01 ) et effectué une déclaration provisoire mentionnant la demande d' exonération temporaire avant le 31 décembre de l' année de début d' activité ( ou dans les 3 mois suivant la création si celle-ci intervient à partir d' octobre ) .	libératoire	versement	22	20	after
cependant , le site internet de légifrance précise qu' il est nécessaire d' avoir déclaré son option pour le versement fiscal libératoire ( lors de la déclaration d' activité d' auto-entrepreneur ou à le moyen de le formulaire n° 13843 * 01 ) et effectué une déclaration provisoire mentionnant la demande d' exonération temporaire avant le 31 décembre de l' année de début d' activité ( ou dans les 3 mois suivant la création si celle-ci intervient à partir d' octobre ) .	provisoire	déclaration	48	47	after
cependant , le site internet de légifrance précise qu' il est nécessaire d' avoir déclaré son option pour le versement fiscal libératoire ( lors de la déclaration d' activité d' auto-entrepreneur ou à le moyen de le formulaire n° 13843 * 01 ) et effectué une déclaration provisoire mentionnant la demande d' exonération temporaire avant le 31 décembre de l' année de début d' activité ( ou dans les 3 mois suivant la création si celle-ci intervient à partir d' octobre ) .	temporaire	exonération	54	53	after
entretenant l' exotisme et le mystère elle pénètre rapidement les cercles de la haute société internationale .	internationale	société	16	15	after
le 22 avril 1539 , jiménez de quesada procéda aussi à la fondation juridique de santafé en compagnie de nikolaus federmann et de sebastián de belalcázar .	juridique	fondation	14	13	after
en effet , même si ces deux peuples parlaient des langues très proches , leurs traditions culturelles et racines historiques étaient très opposées .	proches	langues	13	11	after
en effet , même si ces deux peuples parlaient des langues très proches , leurs traditions culturelles et racines historiques étaient très opposées .	culturelles	traditions	17	16	after
en effet , même si ces deux peuples parlaient des langues très proches , leurs traditions culturelles et racines historiques étaient très opposées .	historiques	racines	20	19	after
henrik lundqvist ( né le 2 mars 1982 à åre en suède ) est un joueur professionnel de hockey sur glace suédois .	professionnel	joueur	17	16	after
henrik lundqvist ( né le 2 mars 1982 à åre en suède ) est un joueur professionnel de hockey sur glace suédois .	suédois	joueur	22	16	after
la plupart de les compétitions internationales sont organisées par l' iaru ( international amateur radio union , union internationale de les radioamateurs ) .	internationales	compétitions	6	5	after
en physique , la quantification est une procédure permettant de construire une théorie quantique d' un champ à partir d' une théorie classique de ce champ .	quantique	théorie	14	13	after
en physique , la quantification est une procédure permettant de construire une théorie quantique d' un champ à partir d' une théorie classique de ce champ .	classique	théorie	23	22	after
ses initiateurs sont issus de tous les courants idéologiques qui traversent le pays ;	idéologiques	courants	9	8	after
l' aau mise sur la collaboration internationale en matière de recherche et nous avons entre autres établi un département pour la communication sans fil et la navigation par satellite à l' université de tor vergata à rome , à l' université de calcutta en inde et dans deux centres de télécommunications , l' un à l' institut technologique de bihar , également en inde , et l' autre à l' institut technologique de bandung en indonésie .	internationale	collaboration	7	6	after
l' aau mise sur la collaboration internationale en matière de recherche et nous avons entre autres établi un département pour la communication sans fil et la navigation par satellite à l' université de tor vergata à rome , à l' université de calcutta en inde et dans deux centres de télécommunications , l' un à l' institut technologique de bihar , également en inde , et l' autre à l' institut technologique de bandung en indonésie .	technologique	institut	58	57	after
l' aau mise sur la collaboration internationale en matière de recherche et nous avons entre autres établi un département pour la communication sans fil et la navigation par satellite à l' université de tor vergata à rome , à l' université de calcutta en inde et dans deux centres de télécommunications , l' un à l' institut technologique de bihar , également en inde , et l' autre à l' institut technologique de bandung en indonésie .	technologique	institut	72	71	after
le conseil a aussi mis en place le prix émile-ollivier , en 2004 , prix littéraire qu' il décerne en collaboration avec le secrétariat à les affaires intergouvernementales canadiennes , à un auteur canadien de langue française de l' extérieur de le québec .	littéraire	prix	16	15	after
le conseil a aussi mis en place le prix émile-ollivier , en 2004 , prix littéraire qu' il décerne en collaboration avec le secrétariat à les affaires intergouvernementales canadiennes , à un auteur canadien de langue française de l' extérieur de le québec .	intergouvernementales	affaires	28	27	after
le conseil a aussi mis en place le prix émile-ollivier , en 2004 , prix littéraire qu' il décerne en collaboration avec le secrétariat à les affaires intergouvernementales canadiennes , à un auteur canadien de langue française de l' extérieur de le québec .	canadiennes	affaires	29	27	after
le conseil a aussi mis en place le prix émile-ollivier , en 2004 , prix littéraire qu' il décerne en collaboration avec le secrétariat à les affaires intergouvernementales canadiennes , à un auteur canadien de langue française de l' extérieur de le québec .	canadien	auteur	34	33	after
le conseil a aussi mis en place le prix émile-ollivier , en 2004 , prix littéraire qu' il décerne en collaboration avec le secrétariat à les affaires intergouvernementales canadiennes , à un auteur canadien de langue française de l' extérieur de le québec .	française	langue	37	36	after
de le 13 décembre 1994 à mars 1997 , la cinquième était éditée par la société nationale de programme publique la télévision de le savoir , de la formation et de l' emploi détenue à 100 % par l' état français .	nationale	société	17	16	after
de le 13 décembre 1994 à mars 1997 , la cinquième était éditée par la société nationale de programme publique la télévision de le savoir , de la formation et de l' emploi détenue à 100 % par l' état français .	publique	société	20	16	after
de le 13 décembre 1994 à mars 1997 , la cinquième était éditée par la société nationale de programme publique la télévision de le savoir , de la formation et de l' emploi détenue à 100 % par l' état français .	français	état	41	40	after
son état s' est dégradé , et les offices religieux y sont tombés en désuétude , bien que parfois le prêtre de la paroisse de carentoir même vienne y rendre la messe .	religieux	offices	10	9	after
avec plus de 15 nationalités représentées dans son catalogue d' auteurs ( belgique , suisse , algérie , tunisie , maroc , côte d' ivoire , congo , suède , grèce , italie , kabylie , hongrie , inde , sénégal , états-unis ... ) apopsix a développé une politique éditoriale ouverte sur les cultures de le monde .	éditoriale	politique	51	50	after
l' ordre positif fut donné à la 68e heure .	positif	ordre	3	2	after
bransford estime que ses films sont souvent modelés avec une dialectique continue , un film étant l' écho d' un précédent et le démystifiant partiellement .	continue	dialectique	12	11	after
la taille de les navires a été également en hausse , de nouvelles écluses de plus en plus longues ont été nécessaires .	longues	écluses	19	14	after
ces deux mots ne se rassemblent pas dans l' écriture courante , l' auteur les a unis pour créer un nouveau nom .	courante	écriture	11	10	after
en 1430 , avec la prise de ioannina , il annexe l' épire alors sous domination « franque » tandis que le prince carlo tocco , en qualité de vassal , doit se dédommager à arta avec ce qu' il reste ( la dynastie de les tocco est supplantée par les ottomans dans l' ensemble correspondant à la grèce actuelle , l' épire et les îles ioniennes , mettant un terme à la domination franque qui s' exerce depuis 1204 sur la grèce centrale , jusqu' à quelques fortifications vénitiennes ) .	franque	domination	18	16	after
en 1430 , avec la prise de ioannina , il annexe l' épire alors sous domination « franque » tandis que le prince carlo tocco , en qualité de vassal , doit se dédommager à arta avec ce qu' il reste ( la dynastie de les tocco est supplantée par les ottomans dans l' ensemble correspondant à la grèce actuelle , l' épire et les îles ioniennes , mettant un terme à la domination franque qui s' exerce depuis 1204 sur la grèce centrale , jusqu' à quelques fortifications vénitiennes ) .	ioniennes	îles	67	66	after
en 1430 , avec la prise de ioannina , il annexe l' épire alors sous domination « franque » tandis que le prince carlo tocco , en qualité de vassal , doit se dédommager à arta avec ce qu' il reste ( la dynastie de les tocco est supplantée par les ottomans dans l' ensemble correspondant à la grèce actuelle , l' épire et les îles ioniennes , mettant un terme à la domination franque qui s' exerce depuis 1204 sur la grèce centrale , jusqu' à quelques fortifications vénitiennes ) .	franque	domination	75	74	after
en 1430 , avec la prise de ioannina , il annexe l' épire alors sous domination « franque » tandis que le prince carlo tocco , en qualité de vassal , doit se dédommager à arta avec ce qu' il reste ( la dynastie de les tocco est supplantée par les ottomans dans l' ensemble correspondant à la grèce actuelle , l' épire et les îles ioniennes , mettant un terme à la domination franque qui s' exerce depuis 1204 sur la grèce centrale , jusqu' à quelques fortifications vénitiennes ) .	vénitiennes	fortifications	90	89	after
